n, m, I, D, U, T(ms)
32768,1485815,32768,32768,79135,25
32768,2096835,32768,32768,90500,32
32768,2966409,32768,32768,101398,41
32768,4192918,32768,32768,112021,56
32768,5932406,32768,32768,124071,80
32768,8387081,32768,32768,135025,106
32768,11857467,32768,32768,146795,140
32768,16775299,32768,32768,158463,184
32768,23720947,32768,32768,169822,250
32768,33550902,32768,32768,182685,350
